20-HCV-1030_Y_Value,20-LV-1031_HSI_InternalSetPointValue,20-LT-1031_HSI_X_Value,20-LV-1031_Z_X_Value,20-LV-1031_Z_Y_Value,20-LV-1034_HSI_InternalSetPointValue,20-LT-1034_HSI_X_Value,20-LV-1034_Z_X_Value,20-LV-1034_Z_Y_Value,20-PV-1037_HSI_InternalSetPointValue,20-PST-1037_HSI_X_Value,20-PV-1037_Z_X_Value,20-PV-1037_Z_Y_Value
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.80724549,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.7999894,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,19.99994,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.7999894,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
50.0,1.8,1.80724549,1.79998565,53.90915,0.8,0.799870968,0.7999891,49.6971664,20.0,19.99994,20.0112038,38.59894
